"","FC","log2(FC)","p.ajusted","-log10(p)"
"90278",0.2651,-1.9154,0.010424,1.982
"101421",0.0054442,-7.5211,0.010621,1.9738
"84848",0.09897,-3.3369,0.010677,1.9716
"91710",0.0035293,-8.1464,0.011089,1.9551
"108289",8.2769,3.0491,0.011484,1.9399
"116818",13.269,3.73,0.012219,1.913
"102772",0.0019688,-8.9884,0.013176,1.8802
"111913",7.7371,2.9518,0.016139,1.7921
"123326",53.41,5.739,0.016167,1.7914
"77054",0.010672,-6.55,0.016487,1.7829
"86273",0.0046945,-7.7348,0.017729,1.7513
"110963",0.24742,-2.015,0.018192,1.7401
"84912",0.0020578,-8.9247,0.018198,1.74
"109665",3.0637,1.6153,0.018225,1.7393
"80679",0.11222,-3.1556,0.018632,1.7297
"100621",0.15183,-2.7195,0.01904,1.7203
"102284",0.0044907,-7.7988,0.019279,1.7149
"95037",0.016226,-5.9455,0.019468,1.7107
"100339",0.023565,-5.4072,0.01965,1.7066
"116836",54.522,5.7688,0.01975,1.7044
"102088",18.304,4.1941,0.01975,1.7044
"107341",3.3683,1.752,0.01975,1.7044
"116008",55.812,5.8025,0.020149,1.6958
"92829",0.32896,-1.604,0.020278,1.693
"109899",102.04,6.673,0.020487,1.6885
"87003",0.013063,-6.2583,0.021086,1.676
"98194",0.016046,-5.9616,0.021086,1.676
"92895",0.0027796,-8.4909,0.02133,1.671
"108276",18.883,4.239,0.02133,1.671
"101710",0.021258,-5.5558,0.021421,1.6692
"90196",7.1499,2.8379,0.021509,1.6674
"111983",25.156,4.6528,0.021747,1.6626
"108617",80.648,6.3336,0.021908,1.6594
"102895",23.039,4.526,0.022098,1.6556
"102274",0.0056468,-7.4684,0.022261,1.6525
"123571",181.43,7.5032,0.022555,1.6468
"97509",0.060804,-4.0397,0.022555,1.6468
"106037",24.592,4.6201,0.022655,1.6448
"113932",24.879,4.6368,0.023022,1.6379
"114538",40.05,5.3237,0.023328,1.6321
"92349",23.049,4.5266,0.023328,1.6321
"94616",5.4942,2.4579,0.023328,1.6321
"91511",0.054489,-4.1979,0.023362,1.6315
"96607",5.1209,2.3564,0.023362,1.6315
"109387",7.1314,2.8342,0.023631,1.6265
"117981",62.479,5.9653,0.023643,1.6263
"103879",32.737,5.0329,0.023971,1.6203
"100945",0.074398,-3.7486,0.02517,1.5991
"78532",0.0065433,-7.2558,0.025373,1.5956
"90503",0.21272,-2.2329,0.025754,1.5892
"85011",0.0051414,-7.6036,0.025844,1.5876
"103411",6.5249,2.706,0.0259,1.5867
"91189",0.036853,-4.7621,0.026042,1.5843
"96883",0.031519,-4.9876,0.026799,1.5719
"126058",42.976,5.4255,0.027795,1.556
"92116",0.10642,-3.2322,0.027829,1.5555
"115207",39.232,5.294,0.028836,1.5401
"91970",0.011605,-6.4291,0.029353,1.5323
"120216",27.443,4.7784,0.029543,1.5295
"101403",0.0026082,-8.5827,0.029592,1.5288
"100276",60.049,5.9081,0.029791,1.5259
"81287",84.844,6.4067,0.03034,1.518
"100476",0.033693,-4.8914,0.03203,1.4944
"112400",10.748,3.426,0.03271,1.4853
"95377",0.2499,-2.0006,0.032925,1.4825
"96929",6.1327,2.6165,0.034498,1.4622
"101821",8.6908,3.1195,0.034681,1.4599
"91267",0.0024986,-8.6446,0.035475,1.4501
"121393",58.086,5.8601,0.035475,1.4501
"92828",0.023712,-5.3983,0.035475,1.4501
"111143",4.8368,2.274,0.035475,1.4501
"99915",0.32666,-1.6141,0.036874,1.4333
"102287",13.669,3.7728,0.038837,1.4108
"112750",7.4411,2.8955,0.039576,1.4026
"89396",0.37697,-1.4075,0.039576,1.4026
"78119",0.005326,-7.5527,0.040228,1.3955
"85575",0.05556,-4.1698,0.041354,1.3835
"112737",26.353,4.7199,0.041531,1.3816
"128359",26.261,4.7148,0.041744,1.3794
"96380",0.11863,-3.0754,0.042388,1.3728
"100755",0.42478,-1.2352,0.044102,1.3555
"109523",38.191,5.2552,0.044276,1.3538
"110973",0.24246,-2.0442,0.044846,1.3483
"109421",25.977,4.6992,0.044912,1.3476
"85745",0.054378,-4.2008,0.045494,1.3421
"101475",0.012918,-6.2745,0.045908,1.3381
"123942",143.49,7.1648,0.046096,1.3363
"107150",57.869,5.8547,0.046121,1.3361
"72563",172.84,7.4333,0.046929,1.3286
"125392",128.28,7.0031,0.047611,1.3223
"103934",52.76,5.7214,0.047611,1.3223
"76751",27.354,4.7737,0.047611,1.3223
"98500",7.3298,2.8738,0.047611,1.3223
"94172",10.202,3.3508,0.048094,1.3179
"109569",47.211,5.5611,0.048935,1.3104
"101911",0.024675,-5.3408,0.048935,1.3104
"110423",37.434,5.2263,0.048935,1.3104
"90420",34.934,5.1265,0.048935,1.3104
"94949",119.1,6.8961,0.049156,1.3084
